City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
285,Nurobod,UZ,40.9056,69.8023,67.51,27,100,5.61,overcast clouds
286,Touros,BR,-5.1989,-35.4608,79.21,84,87,6.26,overcast clouds
287,Westport,US,41.1415,-73.3579,54.9,75,100,17.27,overcast clouds
288,Stawell,AU,-37.05,142.7667,70.61,37,80,16.02,broken clouds
289,Mount Isa,AU,-20.7333,139.5,85.77,19,10,10.36,clear sky
290,La Roda,ES,39.2167,-2.15,60.91,52,2,7.72,clear sky
291,Edd,ER,13.9297,41.6925,81.72,78,76,0.43,broken clouds
292,Kabalo,CD,-6.05,26.9167,69.08,95,84,1.25,broken clouds
293,Boysun,UZ,38.2061,67.1986,61.09,42,99,1.99,overcast clouds
294,Ranghulu,CN,46.65,124.8667,43.09,27,48,11.59,scattered clouds
295,Namatanai,PG,-3.6667,152.4333,83.48,73,99,5.55,light rain
296,Yanam,IN,16.7333,82.2167,77.99,97,36,2.89,scattered clouds
297,Nikolskoye,RU,59.7035,30.7861,33.8,81,81,3.18,broken clouds
298,Moberly,US,39.4184,-92.4382,51.42,42,0,5.75,clear sky
299,Benguela,AO,-12.5763,13.4055,77.14,86,100,0.13,light rain
300,Santo Amaro Da Imperatriz,BR,-27.6881,-48.7786,66.09,91,2,3.58,clear sky
301,Narsaq,GL,60.9167,-46.05,35.82,87,6,3.38,clear sky
302,Murliganj,IN,25.9,86.9833,76.96,75,39,11.95,scattered clouds
303,Flagstaff,US,35.1981,-111.6513,67.51,14,0,27.63,clear sky
304,Ponta Do Sol,PT,32.6667,-17.1,72.23,35,100,6.93,overcast clouds
305,Xiaolingwei,CN,32.0333,118.85,53.58,54,34,4.36,scattered clouds
306,Sangar,RU,63.9242,127.4739,13.32,92,100,1.19,overcast clouds
307,Linxia,CN,35.6003,103.2064,35.76,80,100,3.98,light rain
308,Flin Flon,CA,54.7682,-101.865,28.06,60,100,3.56,overcast clouds
309,Mackay,AU,-21.15,149.2,81.68,69,16,14.97,few clouds
310,Saint Anthony,US,45.0205,-93.218,39.88,37,0,12.66,clear sky
311,Tabou,CI,4.423,-7.3528,78.24,86,94,3.78,moderate rain
312,Deputatskiy,RU,69.3,139.9,8.94,90,100,3.6,overcast clouds
313,Kodiak,US,57.79,-152.4072,40.51,75,100,16.11,overcast clouds
314,Pignon,HT,19.3333,-72.1167,68.56,91,100,3.09,overcast clouds
315,Provideniya,RU,64.3833,-173.3,32.76,92,93,11.97,light snow
316,Labuan,MY,5.2767,115.2417,82.76,83,20,3.44,few clouds
317,Broome,US,42.2506,-75.833,42.89,81,100,1.99,overcast clouds
318,Xining,CN,36.6167,101.7667,34.99,83,99,2.73,overcast clouds
319,Portland,US,45.5234,-122.6762,53.46,62,75,8.99,broken clouds
320,Sirjan,IR,29.452,55.6814,60.8,40,46,2.35,scattered clouds
321,Shirokiy,RU,49.758,129.523,36.5,66,50,15.3,scattered clouds
322,Temir,KZ,49.1414,57.13,45.25,79,44,2.93,scattered clouds
323,La Rioja,ES,42.25,-2.5,42.58,73,0,5.21,clear sky
324,Moron,AR,-34.6534,-58.6198,65.97,77,69,6.42,broken clouds
325,Bonavista,CA,48.6499,-53.1147,40.05,74,23,20.04,few clouds
326,Celestun,MX,20.8667,-90.4,80.53,77,4,16.49,clear sky
327,Tatawin,TN,32.9297,10.4518,55.81,59,33,5.14,scattered clouds
328,Ladario,BR,-19.0047,-57.6017,73.42,60,12,4.74,few clouds
329,Cuamba,MZ,-14.8031,36.5372,66.47,98,1,2.89,clear sky
330,Dukat,RU,62.55,155.55,16.88,88,100,7.63,overcast clouds
331,Yulara,AU,-25.2406,130.9889,76.84,44,6,11.5,clear sky
332,Apiai,BR,-24.5094,-48.8425,51.44,99,24,2.66,few clouds
333,Magadan,RU,59.5667,150.8,29.53,66,14,3.65,few clouds
334,Chase,CA,50.8165,-119.6857,52.68,33,95,5.44,overcast clouds
335,Mantua,IT,45.1667,10.7833,54.64,72,30,7.0,scattered clouds
336,Salina,US,38.8403,-97.6114,53.73,30,0,11.5,clear sky
337,Khani,GE,41.9563,42.9566,42.37,74,1,7.27,clear sky
338,Lichtenburg,ZA,-26.152,26.1597,54.63,92,100,10.96,light rain
339,Mar Del Plata,AR,-38.0023,-57.5575,64.09,94,0,11.99,clear sky
340,Mokhsogollokh,RU,61.4681,128.9203,23.99,75,72,4.16,broken clouds
341,Hambantota,LK,6.1241,81.1185,79.14,100,75,4.61,broken clouds
342,Astana,KZ,51.1801,71.446,51.75,62,20,8.95,few clouds
343,Barranca,PE,-10.75,-77.7667,66.11,83,99,10.0,overcast clouds
344,Gizo,SB,-8.103,156.8419,81.57,76,100,5.84,moderate rain
345,Tura,IN,25.5198,90.2201,70.25,93,40,7.11,scattered clouds
346,Evensk,RU,61.95,159.2333,31.17,75,100,6.76,overcast clouds
347,Fortuna,US,40.5982,-124.1573,52.99,62,20,12.66,few clouds
348,Iracoubo,GF,5.4802,-53.2011,77.94,87,89,10.56,overcast clouds
