City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
103,Pacifica,US,64.44,few clouds,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
105,Port Alfred,ZA,60.19,overcast clouds,-33.5906,26.891,The Halyards Hotel
108,Padang,ID,77.05,broken clouds,-0.9492,100.3543,Mercure Padang
109,Iquique,CL,62.92,scattered clouds,-20.2208,-70.1431,Backpacker`s Hostel Iquique
110,Sur,OM,85.96,clear sky,22.5667,59.5289,Sur Plaza Hotel
111,Luau,AO,64.29,overcast clouds,-10.7073,22.2247,Casa- Bernardo Cândido
113,Champerico,GT,85.19,few clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
116,Salalah,OM,80.69,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
119,Mairang,IN,57.76,clear sky,25.5667,91.6333,AIDA LODGE
120,Geraldton,AU,66.61,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
124,Sao Joao Da Barra,BR,70.45,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
125,Devanhalli,IN,69.85,mist,13.2325,77.6992,Gold Finch Resort
128,Port Macquarie,AU,69.89,scattered clouds,-31.4333,152.9167,Rydges Port Macquarie
129,Menongue,AO,61.61,overcast clouds,-14.6585,17.691,Ritz Lauca
131,Maralal,KE,62.13,overcast clouds,1.0968,36.698,Ngari Hill Ecolodge
132,Shimoda,JP,57.56,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
133,Broken Hill,AU,76.91,clear sky,-31.95,141.4333,Royal Exchange Hotel
134,Auki,SB,85.51,overcast clouds,-8.7676,160.7034,Auki Motel
137,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
139,Kintampo,GH,75.9,overcast clouds,8.0563,-1.7306,Adomaa Memorial Hotel
141,Illapel,CL,63.91,clear sky,-31.6308,-71.1653,Hotel Londres
142,Miranda,CO,71.73,moderate rain,3.2499,-76.2281,unidiversidad organica la utopia
144,Cabo San Lucas,MX,87.62,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
145,Atuona,PF,79.56,scattered clouds,-9.8,-139.0333,Villa Enata
146,Ribeira Grande,PT,60.04,clear sky,38.5167,-28.7,Quinta da Meia Eira
147,Ballina,AU,69.98,broken clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
149,Asfi,MA,66.54,broken clouds,32.2994,-9.2372,Hôtel Abda
153,Esperance,AU,60.64,broken clouds,-33.8667,121.9,Hospitality Esperance
155,Cidreira,BR,65.79,overcast clouds,-30.1811,-50.2056,Hotel Castelo
157,Coolum Beach,AU,72.1,scattered clouds,-26.5333,153.1,Coolum Beach Resort
158,Saldanha,ZA,59.05,clear sky,-33.0117,17.9442,Blue Bay Lodge
159,Juegang,CN,56.91,scattered clouds,32.3174,121.1855,Rudong Y Hotel
160,Colac,AU,71.17,overcast clouds,-38.3333,143.5833,Otway Gate Motel
161,Gat,IL,67.41,scattered clouds,31.61,34.7642,OlusHome
162,New Norfolk,AU,69.3,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
165,Bourail,NC,79.72,clear sky,-21.5667,165.4833,Motel Allamanda
166,Bowen,AU,79.9,scattered clouds,-20.0167,148.2333,Castle Motor Lodge Motel
167,El Sauzal,MX,63.41,clear sky,31.9,-116.6833,Hotel Las Rosas & Spa
168,Ancud,CL,56.23,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
173,Yatou,CN,59.07,clear sky,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
177,Butaritari,KI,81.61,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
178,Cayenne,GF,81.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
179,Saint-Philippe,RE,76.59,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
182,Marawi,PH,73.06,scattered clouds,7.9986,124.2928,Derogongan Residence
184,San Francisco,US,66.51,few clouds,37.7749,-122.4194,Edwardian Hotel
187,Faya,SA,64.51,clear sky,18.3851,42.4509,املاك خالد الشعشوع
188,Bac Lieu,VN,81.91,clear sky,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
189,Manoel Urbano,BR,74.3,broken clouds,-8.8389,-69.2597,Baixada Beira Rio
192,Souillac,MU,75.58,shower rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
195,Tateyama,JP,57.09,heavy intensity rain,34.9833,139.8667,Tateyama Seaside Hotel
196,Iquitos,PE,77.04,broken clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
197,Tefe,BR,74.61,overcast clouds,-3.3542,-64.7114,Aracati Hotel
199,Lompoc,US,70.02,few clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
200,Najran,SA,81.25,scattered clouds,17.4924,44.1277,محمد هادي ال فطيح
201,Suez,EG,70.29,few clouds,29.9737,32.5263,Green House
202,Amahai,ID,83.77,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
205,Tevaitoa,PF,81.23,clear sky,-16.7833,-151.5,Hôtel Raiatea Lodge
206,Kanigoro,ID,77.54,light rain,-8.13,112.219,Musafer Villa ( Villa Erlin )
210,Port Said,EG,64.38,clear sky,31.2565,32.2841,Aracan Hotel
211,Ambunti,PG,84.74,broken clouds,-4.2365,142.8448,AMBUNTI HIDE INN
213,Entre Rios,BR,73.38,scattered clouds,-11.9419,-38.0844,Pousada Porteira
214,Ayni,TJ,60.42,overcast clouds,39.3941,68.5377,Меҳмонхона СУҒД
215,Scottsboro,US,68.09,clear sky,34.6723,-86.0341,Budget Inn
218,Hafizabad,PK,73.4,scattered clouds,32.0679,73.6854,SAM
221,Comodoro Rivadavia,AR,55.26,clear sky,-45.8667,-67.5,Austral Hotel
224,Boyolangu,ID,78.69,overcast clouds,-8.1181,111.8935,Yos ega cv
227,Batemans Bay,AU,67.1,clear sky,-35.7167,150.1833,Batemans Bay Marina Resort
228,Dzaoudzi,YT,82.29,clear sky,-12.7887,45.2699,Le Rocher
230,Ahipara,NZ,68.4,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
232,Rajapur,IN,82.94,clear sky,25.3833,81.15,Sahu Ji Galla Mills
233,Noumea,NC,82.99,clear sky,-22.2763,166.4572,Hôtel Le Lagon
236,Intipuca,SV,82.83,broken clouds,13.1969,-88.0544,Tropiclub Playa El Cuco
237,Cockburn Town,TC,77.56,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
